,senti_score,tweet_content,country_list
31,0.0,"What If Israel Had Given Up the Golan Heights? A Lesson for Syria\u2019s Crisis, by @aarondmiller2 htt\u2026",USA
32,0.0,"#Dailystar Russia says some 'players' trying to derail Syria peace talks: agencies: Some \""players\"" are ...",USA
33,0.0,"Hai awak kat Malaysia, jangan lupa doakan saya kat Syria okayyy \ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude2d",China
34,0.0,@Bivi_17,UK
35,0.0,should #Palmyra be rebuilt?,USA
36,0.0,The United Nations-brokered Peace talks threatened as violence surges,Canada
37,0.45,Mrs @Maryam_Rajavi has said that Syria is becoming an Iranaian quagmire ,Iceland
38,0.2,Because those Syrians who want freedom are his real enemies. Nusra and ISIS are not.,Canada
39,0.375,Assad has to rely on foreigners to stay in power. Most Syrians aren't willing to fight to keep him in power,Israel
40,0.35,Trucks full of aid heading to besieged and hard-to-reach towns in Kafr Batna #Syria with @SYRedCrescent @UN,USA
41,-0.1,"Russian Forces Remain Heavily Involved in Syria, Despite Appearances",Canada
42,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
43,0.0,"Mother and baby martyred by airstrike on Salaheddin nbrhd. Tue, 19 Apr 2016.",Ecuador
44,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in opposition-held northwe...,USA
45,0.2,#Syria ready to discuss inclusive unity government,USA
46,0.45,Mrs @Maryam_Rajavi has said that Syria is becoming an Iranaian quagmire ,Iceland
47,0.3,"from #Raqqa\nkeep calm and don't join #ISIS \ud83d\ude1c\nwe will stay fight ISIS by joke , pen and our dream \n#IS#ISL #Syria",Iraq
48,-0.125,"@BosnjoBoy (7) These are the points recaptured by #FSA, names not important, not marked on any map #Syria",Bosnia and Herzegovina
49,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
50,0.0,"German journalist traveling to Turkey-Syria border, detained in Istanbul",Canada
51,0.0,Strikes on Syria markets 'kill dozens',USA
52,0.303571428571,"The public is certainly a lot more sophisticated than anyone who launched any of the wars in Afghanistan, Iraq, Libya o\u2026",Canada
53,0.0,"US-Led Coalition Conducts One Anti-Daesh Airstrike in Syria, 17 in Iraq",Thailand
54,-0.1,Denmark expands military mission against Islamic State into Syria,Canada
55,0.0,#Syria Regime bombed northern #Homs towns today with 20+ airstrikes \nhttps:\/\/t.co\/LuwHPSkokM,Denmark
56,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026,Sweden
57,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
58,0.55,There's kids out there dying in Syria but you are all complaining because a guy called you hot instead of beautiful.,USA
59,-0.2,"Senior Burundi officer missing from post, officers say he fled: NAIROBI (Reuters) - A senior Bur...",USA
60,-0.2,Syrian child his mother killed by Assad airstrikes he screaming let me die with her #warcrimes #Syria \nPainful \nhttps:\/\/t.co\u2026,Belarus
61,0.0,"NATO and Russia to meet, but grievances remain: BRUSSELS (Reuters) - Russian and NATO envoys are...",USA
62,-0.1,Denmark expands military mission against Islamic State into Syria,Slovenia
63,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
64,0.0,#news #Syrianopposition:Rebels should react against Assad\u2019s army,USA
65,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
66,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself.",Canada
67,-0.25,DTN World News: Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hurt in...,Canada
68,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
69,0.0,"Syria\u2019s Arch of Triumph, destroyed by Islamic State, recreated in London",USA
70,0.0,#Syria Regime bombed northern #Homs towns today with 20+ airstrikes \nhttps:\/\/t.co\/LuwHPSkokM,Canada
71,-0.25,#BBCNews Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hu...,Canada
72,0.0,\u0634\u062a\u0627\u0646 \u0628\u064a\u0646 \u0627\u0648\u0631\u062f\u0648\u063a\u0627\u0646 \u0627\u0644\u0645\u0633\u0644\u0645 \u0643\u064a\u0641 \u064a\u0642\u0628\u0644 \u0627\u064a\u062f\u064a \u0627\u0644\u0644\u0627\u062c\u0626\u064a\u064a\u0646 \u0627\u0644\u0633\u0648\u0631\u064a\u064a\u0646 \u0648\u0628\u064a\u0646 \u0627\u0644\u0646\u0635\u0631\u0627\u0646\u064a \u0627\u0630\u0644\u0647\u0645 ! #Syria,Canada
73,0.0,Clinton Email Shows US Sought Syria Regime Change for Israel\u2019s Sake,Canada
74,0.0,#Iran regime will collapse when Assad is toppled in #Syria,Canada
75,-0.1,[AW News] Denmark expands military mission against Islamic State into Syria via @ameborworld_com,Africa
76,-0.116666666667,Israel Actively \u201cCooperates\u201d with the Islamic State and Al Qaeda. Military Aid Channelled into Syria out of the\u2026 https\u2026,Canada
77,0.0,"Movie London has fallen \n\nMengajar kita yang nyawa orang2 US ni lebih berharga dari nyawa orang palestin , syria etc . Fukyuu",Spain
78,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,India
79,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
80,-0.1,"BREAKING: Russia 'breaks' military deal with US and carry out \""simulated attacks\"" on US warplanes over #Syria \nhttps:\/\/t.co\/5w3xUrWyf7",USA
81,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,USA
82,-0.25,Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hurt in Syrian governme...,Indonesia
83,0.0454545454545,Syria Political Talks Hit New Snags: Prospects for a political resolution to Syria\u2019s crisis have dimmed after ...,Iraq
84,-0.125,"\u2018Nobody is in control\u2019 CIA, Pentagon backed groups fighting each other in Syria",Canada
85,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,India
86,0.0,Syria conflict: Air strikes on Idlib markets 'kill dozens' - BBC News,Canada
87,0.0,Strikes on Syria markets 'kill dozens',Indonesia
88,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,India
89,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself.",Canada
90,0.2,The Inhuman Atrocity Regime is NOT part of the REAL federal government. Congress even declared war on them. #OldNews,Canada
91,0.0681818181818,Syria Political Talks Hit New Snags,Canada
92,0.0,#TwitterKurds #Rojava #YPG #YPJ #SDF #Syria #ISIS #Daesh ,Spain
93,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
94,0.0,"No problem if opposition boycotts Syria talks, government says",Canada
95,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
96,0.5,still look cute.,Malaysia
97,0.375,Excited for #10ICAANE - @robertbewley &amp; Emma Cunliffe CIPA Wshop on Saving the Heritage of Syria Thurs 28 April,USA
98,0.15,The Latest: Syria opposition blames gov't for deadly strikes #Generalnews,USA
99,-0.2,"Five Syrians killed, five wounded as rocket projectiles from #Syria hit #Turkey\u2019s south",UK
100,0.0,\u0623\u0639\u0644\u0646 \u062c\u064a\u0634 \u0627\u0644\u0625\u0633\u0644\u0627\u0645\u060c \u0627\u0644\u064a\u0648\u0645 \u0627\u0644\u062b...,Iraq
101,0.0,\u9042\u306b\u304d\u305f\u3002\u50d5\u304c\u77e5\u308b\u9650\u308a\u3067\u3059\u304c\u3001\u30ed\u30b7\u30a2\u7a7a\u7206\u304c\u59cb\u307e\u3063\u3066\u304b\u3089\u898b\u304b\u3051\u306a\u304b\u3063\u305f\u3001\u6d77\u5916\u30e1\u30c7\u30a3\u30a2\u304b\u3089\u306e\u73fe\u5730\u30eb\u30dd\u304c\u914d\u4fe1\u3055\u308c\u307e\u3057\u305f\u3002CNN\u3067\u3059\u3002Clarissa Ward\u8a18\u8005\u3002\u5834\u6240\u3001\u30a4\u30c9\u30ea\u30d6\u3002\u6642\u671f\u3001\u505c\u6226\u4ee5\u5f8c\u306a\u306e\u3067\u3064\u3044\u6700\u8fd1\u3002\u73fe\u5730\u306e\u58f0\u3092\u4e01\u5be7\u306b\u62fe\u3063\u3066\u3044\u307e\u3059\u3002h\u2026,Canada
102,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
103,0.0,\ud83d\udc94,Denmark
104,0.6,@attigon LMAO,Canada
105,-0.1,[AW News] Denmark expands military mission against Islamic State into Syria via @ameborworld_com,Africa
106,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself.",USA
107,0.0,Voil\u00e0 comment les soldats SAA d\u00e9fendent leurs positions... Et pourquoi il les perdent.,Canada
108,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
109,-0.2,#Turkey: Turkish army send reinforcements to #Kilis at the border with #Syria after deadly #ISIS shelling.,Canada
110,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,Canada
111,0.0,".@hijab_riad: #Assad Will Not Stay in Power, His Crimes Won't Go Unpunished",Canada
112,0.225,There are no words for yet another in the long list of airstrikes in #Syria killing innocent civilians again today in a market.,USA
113,-1.0,"Horrific aftermath photos of today's regime airstrikes on the rebel-held city of Ma\u02bfarrat al-Nu\u02bfm\u0101n, #Idlib. https\u2026",USA
114,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,India
115,0.0,Anbulanslar\u0131 ge\u00e7irmeyen ve onu destekleyen Ne kadar ac\u0131 varsa hepsini tadas\u0131n\u0131z .Ba\u015fka diyecek s\u00f6z\u00fcm yok sizlere,Greenland
116,0.0,Family of Journalist Slain by Islamic State Sues Syria - ABC News,China
117,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Portugal
118,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself.",Canada
119,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,USA
120,0.0,"#Syria, Aleppo rif, aftermath of the air attacks on\u00a0Kafarhmra",USA
121,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,USA
122,0.136363636364,"#news The arc will appear in London, New York, Dubai and eventually Palmyra itself.",USA
123,0.5,Danish Lawmakers OK Airstrikes on ISIS Militants in Syria and Iraq,Canada
124,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria,Canada
125,0.0,Sotloff family sues Syria over son's beheading: MIAMI \u2014 The family of slain journalist Steven Sotloff is suing\u2026,Canada
126,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
127,-0.1,"MSF:situation critical for 100,000 trapped in Azaz district of Aleppo caught btw ISIL frontline, Kurdish-territories,T\u2026",Canada
128,0.0,A chance for some #Syria home truths? ,Oman
129,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
130,-1.0,Horrific aftermath footage of today's regime airstrike on the road between the Bala town and Deir al-Asafir. https\u2026,USA
131,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026,Canada
132,0.0,"#Syria, Aleppo rif, aftermath of the air attacks on\u00a0Kafarhmra",USA
133,0.0,"#Assad Will Not Stay in Power, His Crimes Won't Go Unpunished",Netherlands
134,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself.",USA
135,0.3,Our own @Zia_Salik discussing the current situation in Syria 5 years on from start of the conflict #ANightInAleppo htt\u2026,Morocco
136,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,USA
137,0.0,\u0627\u06d2 \u0646\u0628\u06cc! \u0645\u0633\u0644\u0645\u0627\u0646\u0648\u06ba \u06a9\u0648 \u062c\u06c1\u0627\u062f \u06a9\u06cc \u062a\u0631\u063a\u06cc\u0628 \u062f\u0648\u06d4 \u0627\u0648\u0631 \u0627\u06af\u0631 \u062a\u0645 \u0628\u06cc\u0633 \u0622\u062f\u0645\u06cc \u062b\u0627\u0628\u062a \u0642\u062f\u0645 \u0631\u06c1\u0646\u06d2 \u0648\u0627\u0644\u06d2 \u06c1\u0648\u06ba \u06af\u06d2 \u062a\u0648 \u062f\u0648 \u0633\u0648 \u06a9\u0627\u0641\u0631\u0648\u06ba \u067e\u0631 \u063a\u0627\u0644\u0628 \u0631\u06c1\u06cc\u06ba \u06af\u06d2\u06d4(\u0633\u0648\u0631\u0629 \u0627\u2026,Pakistan
138,0.225,There are no words for yet another in the long list of airstrikes in #Syria killing innocent civilians again today in a mar\u2026,Turkey
139,0.0,Russia says some 'players' trying to derail Syria peace talks: agencies,Indonesia
140,0.0,Yeter art\u0131k! 500'bin insan \u00f6ld\u00fcr\u00fcld\u00fc ve 8'milyon ki\u015fi \u00fclkesini terk etti neden zul\u00fcmlere sessiz kal\u0131yorsunuz? #Syria https\u2026,Greenland
141,0.3,Defense Secretary Ash Carter offers #Iraq more feasibly troops,Canada
142,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
143,-0.4,"#Syria JN\/AQ captured 1 T-90A in Tal El Eis. Front kontknt-5 ERA bricks went off. 1 OTShU-1-7 missing,1 broken.",Finland
144,0.0,Keep Syria in your Prayers \ud83d\ude2d\ud83d\udc94,Israel
145,0.0,Which government? There are now several governments in #Syria.,Canada
146,0.0,Our Syria Campaign can you help?,USA
147,0.525,Mourinho aware of PSG interest but happy to wait for MUFC. He's also planning a trip to Syria nxt month. Story here:,United Kingdom
148,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
149,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Ecuador
150,0.0,Syria Conflict: Air Strikes On Idlib Markets 'Kill Dozens' : SYRIA,USA
151,-0.75,This horrible photos of children dying in Syria is absolutely gruesome and it's terrifying how simple death has become in ME.,USA
152,-0.2,Syrian child his mother killed by Assad airstrikes he screaming let me die with her #warcrimes #Syria \nPainful \nhttps:\/\/t.co\u2026,Belarus
153,0.0,\u0634\u0628\u064a\u062d \u0645\u0646 #\u0627\u062f\u0644\u0628 \u0645\u0646 \u0622\u0644 \u062c\u0628\u0627\u0631\u0629 \u062a\u0645 \u0623\u0633\u0631\u0647 \u0627\u0644\u064a\u0648\u0645 \u0641\u064a \u0645\u0639\u0627\u0631\u0643 #\u0633\u0647\u0644_\u0627\u0644\u063a\u0627\u0628\u060c  #Syria,Canada
154,-0.25,At least 9 civilians killed in a regime airstrike on the road between the Bala town and Deir al-Asafir.,USA
155,-0.2,Dozens dead in Syria strikes as opposition chiefs leave talks #Generalnews,USA
156,0.0,\u043e\u0442\u0434\u0435\u043b\u044c\u043d\u044b\u0435 \u0438\u0433\u0440\u043e\u043a\u0438 \u0434\u043e\u0431\u0438\u0432\u0430\u044e\u0442\u0441\u044f \u0432\u043e\u0435\u043d\u043d\u043e\u0433\u043e \u0440\u0435\u0448\u0435\u043d\u0438\u044f \u043a\u043e\u043d\u0444\u043b\u0438\u043a\u0442\u0430 \u0432 \u0421\u0438\u0440\u0438\u0438,USA
157,0.0,https:\/\/t.co\/Vul7Hmo1uY,Canada
158,-0.233333333333,"More horrific aftermath photos of today's heavy regime airstrikes on rebel-held Ma\u02bfarrat al-Nu\u02bfm\u0101n, #Idlib.",USA
159,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
160,-0.0666666666667,#Syria Rebels destroyed tank &amp; killed several attacking Shia militia men at Bala\/al-Eis front in southern #Alepp,Canada
161,0.2,U.S. providing more military support to Iraq,Canada
162,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
163,-0.2,"Dozens killed in Syria air strikes, Syrian army attacks northwest #Generalnews",USA
164,-1.0,"Horrific aftermath footage of today's regime airstrikes on the rebel-held city of Ma\u02bfarrat al-Nu\u02bfm\u0101n, Idlib. https\u2026",USA
165,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026,Canada
166,0.0,Its being debated in the Commons tomorrow. But why won\u2019t the government call Isis atrocities genocide? ,USA
167,0.0,#Syria #Iran backed Shia militias launch another attempt to advance south of #Aleppo along highway \nRebels blow up tank,Canada
168,0.425,"The human spirit is beautiful, isn't it?",USA
169,0.0,Air strikes on Idlib markets 'kill dozens',USA
170,0.0,\u0627\u06d2 \u0646\u0628\u06cc! \u0645\u0633\u0644\u0645\u0627\u0646\u0648\u06ba \u06a9\u0648 \u062c\u06c1\u0627\u062f \u06a9\u06cc \u062a\u0631\u063a\u06cc\u0628 \u062f\u0648\u06d4 \u0627\u0648\u0631 \u0627\u06af\u0631 \u062a\u0645 \u0628\u06cc\u0633 \u0622\u062f\u0645\u06cc \u062b\u0627\u0628\u062a \u0642\u062f\u0645 \u0631\u06c1\u0646\u06d2 \u0648\u0627\u0644\u06d2 \u06c1\u0648\u06ba \u06af\u06d2 \u062a\u0648 \u062f\u0648 \u0633\u0648 \u06a9\u0627\u0641\u0631\u0648\u06ba \u067e\u0631 \u063a\u0627\u0644\u0628 \u0631\u06c1\u06cc\u06ba \u06af\u06d2\u06d4(\u0633\u0648\u0631\u0629 \u0627\u2026,Canada
171,0.0,Russia says some 'players' trying to derail Syria peace talks: agencies,Indonesia
172,0.0,"Syria\u2019s Arch of Triumph, destroyed by Islamic State, recreated in London",USA
173,0.5,"this guy just dm'ed me asking if I \""migrated\"" from Syria um no....? migrate? Ok?",Canada
174,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Belarus
175,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,USA
176,-0.5,"5 guilty pleas, 4 headed for trial in May, 1 presumably\u2026",Canada
177,0.0,"RT #UKagainstDaesh \""RT UNGeneva: Update on ongoing #SyriaTalks in Geneva by Staffan de Mistura, UN #Syria Envoy\nTr\u2026",Australia
178,0.0,\u0634\u062a\u0627\u0646 \u0628\u064a\u0646 \u0627\u0648\u0631\u062f\u0648\u063a\u0627\u0646 \u0627\u0644\u0645\u0633\u0644\u0645 \u0643\u064a\u0641 \u064a\u0642\u0628\u0644 \u0627\u064a\u062f\u064a \u0627\u0644\u0644\u0627\u062c\u0626\u064a\u064a\u0646 \u0627\u0644\u0633\u0648\u0631\u064a\u064a\u0646 \u0648\u0628\u064a\u0646 \u0627\u0644\u0646\u0635\u0631\u0627\u0646\u064a \u0627\u0630\u0644\u0647\u0645 ! #Syria,Riyadh Saudi Arabia
179,0.7,#Syria by the talented Hossam Abo Hashish \u2764,Iraq
180,0.0,So we've been told the migrants are from Syria.. Make your mind up #c4news,USA
181,0.0,\u0643\u0631\u0627\u0645\u0629 \u0627\u0644\u0645\u0631\u0627\u0621\u0647 \u0639\u0646\u062f \u0628\u0634\u0627\u0631  \u0644\u0627\u0637\u0641\u0644 \u0644\u0627\u0646\u0633\u0627\u0621 #Syria \u0627\u0644\u0627\u0631\u0647\u0627\u0628 \u0648\u0637\u0646 \u0627\u0644\u0646\u0635\u064a\u0631\u064a\u0647 \u0648\u0627\u0644\u0634\u064a\u0639\u0647 \u0627\u0644\u0642\u062a\u0644\u0647 \u0627\u063a\u062a\u0635\u0627\u0628 \u0627\u0644\u0633\u0648\u0631\u064a\u0627\u062a \u0641\u064a \u0627\u0644\u0633\u062c\u0648\u0646 \u0627\u0644\u0639\u0644\u0648\u064a\u0629,Riyadh Saudi Arabia
182,-0.162878787879,If you are from #Syria you are unable to live a life like any other person in this world when in #Turkey. It is a terrible\u2026,Turkey
183,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
184,0.133333333333,"More than 100,000 people trapped near Turkish border by renewed fighting in northern #Syria",Canada
185,0.0,"..the list is never-ending. Please check what is happening in #Turkey to the people of Syria before criticising,you would w\u2026",Turkey
186,0.0,#SYRIA\n#IslamicState Claims They Advance In Various Areas Of #DeirEzzor. #TerrorMonitor,Canada
187,-0.1,"'All options,' even military ones, on table to push Israel out of Golan #Gaza #Palestine #Israel #warcrimes #BDS",Canada
188,0.0, @DioscorusBoles @miskelayla @FirstMate1060,Iran
189,0.75,Assad thugs doing what they do best; torturing innocent civilians. #Syria ,Romania
190,0.0,Never forget the children the world has lost #syria #Iraq #Gaza worldwide,Kenya
191,0.0,This should be in an erectile dysfunction ad. ,Canada
192,0.0,Seymour Hersh appearing on C4News. Stand by for a barrage of anonymous critics deriding everything from Kennedy to Syria. #ObeytheState,UK
193,0.0,No advances by #SAA today in #Latakia as #Nusra claims to have repelled todays loyalist offensive. #Syria,Serbia
194,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026,Turkey
195,0.0,\u0631\u0698\u06cc\u0645 \u062f\u0631 \u062d\u0645\u0644\u0647 \u0628\u0647 \u06cc\u06a9 \u0628\u0627\u0632\u0627\u0631 \u0633\u0628\u0632\u06cc\u0627\u062a \u0648 \u0645\u0627\u0647\u06cc \u062f\u0631 #\u0627\u062f\u0644\u0628 \u062d\u062f\u0648\u062f \u067e\u0646\u062c\u0627\u0647 \u063a\u06cc\u0631\u0646\u0638\u0627\u0645\u06cc \u0631\u0627 \u06a9\u0634\u062a \u0648 \u0635\u062f\u0646\u0641\u0631 \u0631\u0627 \u0632\u062e\u0645\u06cc \u06a9\u0631\u062f. #\u0633\u0648\u0631\u06cc\u0647 #\u0698\u0646\u0648\u06f3,Ecuador
196,0.0,Clinton Email Shows US Sought Syria Regime Change for Israel\u2019s Sake,Canada
197,0.0,Air strike on market kills around 40 in opposition-held northwest Syria:,Ecuador
198,0.0,"\u0422\u0435\u0440\u0440\u043e\u0440\u0438\u0441\u0442\u0438\u0447\u0435\u0441\u043a\u0438\u0435 \u0431\u0430\u043d\u0434\u044b #PYD\/#YPG \u0430\u0440\u0435\u0441\u0442\u043e\u0432\u0430\u043b\u0438 256 \u0433\u0440\u0430\u0436\u0434\u0430\u043d\u0441\u043a\u0438\u0445 \u043b\u0438\u0446(20 \u0434\u0435\u0442\u0435\u0439, 35 \u0436\u0435\u043d\u0449\u0438\u043d)\n\u041e\u0434\u0438\u043d \u0443\u043c\u0435\u0440 \u043e\u0442 \u043f\u044b\u0442\u043e\u043a",Russia
199,0.0681818181818,Syria Political Talks Hit New Snags,Canada
200,-0.2,"SYRIA\n\n300,000 DEAD\n\nARABS KILLED BY FELLOW ARABS\n\nWHO COMPLAINS ? NOT #UN, NOT #BDS\n\nBEC THEY CANT BLAME #ISRAEL\n.",Canada
201,0.0,Syrian Army storms strategic town in northeast #Latakia,Slovenia
202,0.625,"@pshegubj yea, this is a camp on the Turkey \/ Syria border... will share more on this soon!",Turkey
203,0.0,Our Syria Campaign can you help?,Canada
204,0.0,The United Nations-brokered Peace talks threatened as violence surges,Iraq
