,country,senti_score,tweet_content
44,Delhi,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in opposition-held northwe...
45,Paris,0.2,#Syria ready to discuss inclusive unity government
46,Island,0.45,Mrs @Maryam_Rajavi has said that Syria is becoming an Iranaian quagmire 
47,Baghdad,0.3,"from #Raqqa\nkeep calm and don't join #ISIS \ud83d\ude1c\nwe will stay fight ISIS by joke , pen and our dream \n#IS#ISL #Syria"
48,Sarajevo,-0.125,"@BosnjoBoy (7) These are the points recaptured by #FSA, names not important, not marked on any map #Syria"
49,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
50,Canada,0.0,"German journalist traveling to Turkey-Syria border, detained in Istanbul"
51,London,0.0,Strikes on Syria markets 'kill dozens'
52,Canada,0.303571428571,"The public is certainly a lot more sophisticated than anyone who launched any of the wars in Afghanistan, Iraq, Libya o\u2026"
53,Bangkok,0.0,"US-Led Coalition Conducts One Anti-Daesh Airstrike in Syria, 17 in Iraq"
54,Canada,-0.1,Denmark expands military mission against Islamic State into Syria
55,Copenhagen,0.0,#Syria Regime bombed northern #Homs towns today with 20+ airstrikes \nhttps:\/\/t.co\/LuwHPSkokM
56,Stockholm,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026
57,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
58,London,0.55,There's kids out there dying in Syria but you are all complaining because a guy called you hot instead of beautiful.
59,Paris,-0.2,"Senior Burundi officer missing from post, officers say he fled: NAIROBI (Reuters) - A senior Bur..."
60,Minsk,-0.2,Syrian child his mother killed by Assad airstrikes he screaming let me die with her #warcrimes #Syria \nPainful \nhttps:\/\/t.co\u2026
61,Paris,0.0,"NATO and Russia to meet, but grievances remain: BRUSSELS (Reuters) - Russian and NATO envoys are..."
62,Ljubljana,-0.1,Denmark expands military mission against Islamic State into Syria
63,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
64,Athens,0.0,#news #Syrianopposition:Rebels should react against Assad\u2019s army
65,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
66,Canada,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself."
67,Canada,-0.25,DTN World News: Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hurt in...
68,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
69,London,0.0,"Syria\u2019s Arch of Triumph, destroyed by Islamic State, recreated in London"
70,Canada,0.0,#Syria Regime bombed northern #Homs towns today with 20+ airstrikes \nhttps:\/\/t.co\/LuwHPSkokM
71,Canada,-0.25,#BBCNews Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hu...
72,Canada,0.0,\u0634\u062a\u0627\u0646 \u0628\u064a\u0646 \u0627\u0648\u0631\u062f\u0648\u063a\u0627\u0646 \u0627\u0644\u0645\u0633\u0644\u0645 \u0643\u064a\u0641 \u064a\u0642\u0628\u0644 \u0627\u064a\u062f\u064a \u0627\u0644\u0644\u0627\u062c\u0626\u064a\u064a\u0646 \u0627\u0644\u0633\u0648\u0631\u064a\u064a\u0646 \u0648\u0628\u064a\u0646 \u0627\u0644\u0646\u0635\u0631\u0627\u0646\u064a \u0627\u0630\u0644\u0647\u0645 ! #Syria
73,Canada,0.0,Clinton Email Shows US Sought Syria Regime Change for Israel\u2019s Sake
74,Canada,0.0,#Iran regime will collapse when Assad is toppled in #Syria
75,Africa,-0.1,[AW News] Denmark expands military mission against Islamic State into Syria via @ameborworld_com
76,Canada,-0.116666666667,Israel Actively \u201cCooperates\u201d with the Islamic State and Al Qaeda. Military Aid Channelled into Syria out of the\u2026 https\u2026
77,Madrid,0.0,"Movie London has fallen \n\nMengajar kita yang nyawa orang2 US ni lebih berharga dari nyawa orang palestin , syria etc . Fukyuu"
78,Mumbai,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
79,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
80,Rome,-0.1,"BREAKING: Russia 'breaks' military deal with US and carry out \""simulated attacks\"" on US warplanes over #Syria \nhttps:\/\/t.co\/5w3xUrWyf7"
81,London,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
82,Jakarta,-0.25,Strikes on Syria markets 'kill dozens': At least 44 people have been killed and dozens hurt in Syrian governme...
83,Baghdad,0.0454545454545,Syria Political Talks Hit New Snags: Prospects for a political resolution to Syria\u2019s crisis have dimmed after ...
84,Canada,-0.125,"\u2018Nobody is in control\u2019 CIA, Pentagon backed groups fighting each other in Syria"
85,Kolkata,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
86,Canada,0.0,Syria conflict: Air strikes on Idlib markets 'kill dozens' - BBC News
87,Jakarta,0.0,Strikes on Syria markets 'kill dozens'
88,Kolkata,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
89,Canada,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself."
90,Canada,0.2,The Inhuman Atrocity Regime is NOT part of the REAL federal government. Congress even declared war on them. #OldNews
91,Canada,0.0681818181818,Syria Political Talks Hit New Snags
92,Madrid,0.0,#TwitterKurds #Rojava #YPG #YPJ #SDF #Syria #ISIS #Daesh 
93,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
94,Canada,0.0,"No problem if opposition boycotts Syria talks, government says"
95,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
96,Malaysia,0.5,still look cute.
97,Alaska,0.375,Excited for #10ICAANE - @robertbewley &amp; Emma Cunliffe CIPA Wshop on Saving the Heritage of Syria Thurs 28 April
98,Athens,0.15,The Latest: Syria opposition blames gov't for deadly strikes #Generalnews
99,EuropeLondon,-0.2,"Five Syrians killed, five wounded as rocket projectiles from #Syria hit #Turkey\u2019s south"
100,Baghdad,0.0,\u0623\u0639\u0644\u0646 \u062c\u064a\u0634 \u0627\u0644\u0625\u0633\u0644\u0627\u0645\u060c \u0627\u0644\u064a\u0648\u0645 \u0627\u0644\u062b...
101,Canada,0.0,\u9042\u306b\u304d\u305f\u3002\u50d5\u304c\u77e5\u308b\u9650\u308a\u3067\u3059\u304c\u3001\u30ed\u30b7\u30a2\u7a7a\u7206\u304c\u59cb\u307e\u3063\u3066\u304b\u3089\u898b\u304b\u3051\u306a\u304b\u3063\u305f\u3001\u6d77\u5916\u30e1\u30c7\u30a3\u30a2\u304b\u3089\u306e\u73fe\u5730\u30eb\u30dd\u304c\u914d\u4fe1\u3055\u308c\u307e\u3057\u305f\u3002CNN\u3067\u3059\u3002Clarissa Ward\u8a18\u8005\u3002\u5834\u6240\u3001\u30a4\u30c9\u30ea\u30d6\u3002\u6642\u671f\u3001\u505c\u6226\u4ee5\u5f8c\u306a\u306e\u3067\u3064\u3044\u6700\u8fd1\u3002\u73fe\u5730\u306e\u58f0\u3092\u4e01\u5be7\u306b\u62fe\u3063\u3066\u3044\u307e\u3059\u3002h\u2026
102,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
103,Copenhagen,0.0,\ud83d\udc94
104,Canada,0.6,@attigon LMAO
105,Africa,-0.1,[AW News] Denmark expands military mission against Islamic State into Syria via @ameborworld_com
106,Delhi,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself."
107,Canada,0.0,Voil\u00e0 comment les soldats SAA d\u00e9fendent leurs positions... Et pourquoi il les perdent.
108,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
109,Canada,-0.2,#Turkey: Turkish army send reinforcements to #Kilis at the border with #Syria after deadly #ISIS shelling.
110,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
111,Canada,0.0,".@hijab_riad: #Assad Will Not Stay in Power, His Crimes Won't Go Unpunished"
112,Paris,0.225,There are no words for yet another in the long list of airstrikes in #Syria killing innocent civilians again today in a market.
113,Amsterdam,-1.0,"Horrific aftermath photos of today's regime airstrikes on the rebel-held city of Ma\u02bfarrat al-Nu\u02bfm\u0101n, #Idlib. https\u2026"
114,Chennai,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
115,Greenland,0.0,Anbulanslar\u0131 ge\u00e7irmeyen ve onu destekleyen Ne kadar ac\u0131 varsa hepsini tadas\u0131n\u0131z .Ba\u015fka diyecek s\u00f6z\u00fcm yok sizlere
116,Beijing,0.0,Family of Journalist Slain by Islamic State Sues Syria - ABC News
117,Lisbon,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
118,Canada,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself."
119,Athens,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
120,Athens,0.0,"#Syria, Aleppo rif, aftermath of the air attacks on\u00a0Kafarhmra"
121,Hawaii,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
122,London,0.136363636364,"#news The arc will appear in London, New York, Dubai and eventually Palmyra itself."
123,Canada,0.5,Danish Lawmakers OK Airstrikes on ISIS Militants in Syria and Iraq
124,Canada,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria
125,Canada,0.0,Sotloff family sues Syria over son's beheading: MIAMI \u2014 The family of slain journalist Steven Sotloff is suing\u2026
126,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
127,Canada,-0.1,"MSF:situation critical for 100,000 trapped in Azaz district of Aleppo caught btw ISIL frontline, Kurdish-territories,T\u2026"
128,Muscat,0.0,A chance for some #Syria home truths? 
129,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
130,Amsterdam,-1.0,Horrific aftermath footage of today's regime airstrike on the road between the Bala town and Deir al-Asafir. https\u2026
131,Canada,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026
132,AmericaNewYork,0.0,"#Syria, Aleppo rif, aftermath of the air attacks on\u00a0Kafarhmra"
133,EuropeAmsterdam,0.0,"#Assad Will Not Stay in Power, His Crimes Won't Go Unpunished"
134,Athens,0.136363636364,"The arc will appear in London, New York, Dubai and eventually Palmyra itself."
135,Casablanca,0.3,Our own @Zia_Salik discussing the current situation in Syria 5 years on from start of the conflict #ANightInAleppo htt\u2026
136,Delhi,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
137,Karachi,0.0,\u0627\u06d2 \u0646\u0628\u06cc! \u0645\u0633\u0644\u0645\u0627\u0646\u0648\u06ba \u06a9\u0648 \u062c\u06c1\u0627\u062f \u06a9\u06cc \u062a\u0631\u063a\u06cc\u0628 \u062f\u0648\u06d4 \u0627\u0648\u0631 \u0627\u06af\u0631 \u062a\u0645 \u0628\u06cc\u0633 \u0622\u062f\u0645\u06cc \u062b\u0627\u0628\u062a \u0642\u062f\u0645 \u0631\u06c1\u0646\u06d2 \u0648\u0627\u0644\u06d2 \u06c1\u0648\u06ba \u06af\u06d2 \u062a\u0648 \u062f\u0648 \u0633\u0648 \u06a9\u0627\u0641\u0631\u0648\u06ba \u067e\u0631 \u063a\u0627\u0644\u0628 \u0631\u06c1\u06cc\u06ba \u06af\u06d2\u06d4(\u0633\u0648\u0631\u0629 \u0627\u2026
138,Istanbul,0.225,There are no words for yet another in the long list of airstrikes in #Syria killing innocent civilians again today in a mar\u2026
139,Jakarta,0.0,Russia says some 'players' trying to derail Syria peace talks: agencies
140,Greenland,0.0,Yeter art\u0131k! 500'bin insan \u00f6ld\u00fcr\u00fcld\u00fc ve 8'milyon ki\u015fi \u00fclkesini terk etti neden zul\u00fcmlere sessiz kal\u0131yorsunuz? #Syria https\u2026
141,Canada,0.3,Defense Secretary Ash Carter offers #Iraq more feasibly troops
142,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
143,Helsinki,-0.4,"#Syria JN\/AQ captured 1 T-90A in Tal El Eis. Front kontknt-5 ERA bricks went off. 1 OTShU-1-7 missing,1 broken."
144,Jerusalem,0.0,Keep Syria in your Prayers \ud83d\ude2d\ud83d\udc94
145,Canada,0.0,Which government? There are now several governments in #Syria.
146,Arizona,0.0,Our Syria Campaign can you help?
147,United Kingdom,0.525,Mourinho aware of PSG interest but happy to wait for MUFC. He's also planning a trip to Syria nxt month. Story here:
148,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
149,Quito,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
150,London,0.0,Syria Conflict: Air Strikes On Idlib Markets 'Kill Dozens' : SYRIA
151,Amsterdam,-0.75,This horrible photos of children dying in Syria is absolutely gruesome and it's terrifying how simple death has become in ME.
152,Minsk,-0.2,Syrian child his mother killed by Assad airstrikes he screaming let me die with her #warcrimes #Syria \nPainful \nhttps:\/\/t.co\u2026
153,Canada,0.0,\u0634\u0628\u064a\u062d \u0645\u0646 #\u0627\u062f\u0644\u0628 \u0645\u0646 \u0622\u0644 \u062c\u0628\u0627\u0631\u0629 \u062a\u0645 \u0623\u0633\u0631\u0647 \u0627\u0644\u064a\u0648\u0645 \u0641\u064a \u0645\u0639\u0627\u0631\u0643 #\u0633\u0647\u0644_\u0627\u0644\u063a\u0627\u0628\u060c  #Syria
154,Amsterdam,-0.25,At least 9 civilians killed in a regime airstrike on the road between the Bala town and Deir al-Asafir.
155,Athens,-0.2,Dozens dead in Syria strikes as opposition chiefs leave talks #Generalnews
156,Moscow,0.0,\u043e\u0442\u0434\u0435\u043b\u044c\u043d\u044b\u0435 \u0438\u0433\u0440\u043e\u043a\u0438 \u0434\u043e\u0431\u0438\u0432\u0430\u044e\u0442\u0441\u044f \u0432\u043e\u0435\u043d\u043d\u043e\u0433\u043e \u0440\u0435\u0448\u0435\u043d\u0438\u044f \u043a\u043e\u043d\u0444\u043b\u0438\u043a\u0442\u0430 \u0432 \u0421\u0438\u0440\u0438\u0438
157,Canada,0.0,https:\/\/t.co\/Vul7Hmo1uY
158,Amsterdam,-0.233333333333,"More horrific aftermath photos of today's heavy regime airstrikes on rebel-held Ma\u02bfarrat al-Nu\u02bfm\u0101n, #Idlib."
159,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
160,Canada,-0.0666666666667,#Syria Rebels destroyed tank &amp; killed several attacking Shia militia men at Bala\/al-Eis front in southern #Alepp
161,Canada,0.2,U.S. providing more military support to Iraq
162,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
163,Athens,-0.2,"Dozens killed in Syria air strikes, Syrian army attacks northwest #Generalnews"
164,Amsterdam,-1.0,"Horrific aftermath footage of today's regime airstrikes on the rebel-held city of Ma\u02bfarrat al-Nu\u02bfm\u0101n, Idlib. https\u2026"
165,Canada,0.0,#PYD\/#YPG terror group arrested 256 civilians (20 children; 35 women) and one died under torture by these criminals\u2026
166,Amsterdam,0.0,Its being debated in the Commons tomorrow. But why won\u2019t the government call Isis atrocities genocide? 
167,Canada,0.0,#Syria #Iran backed Shia militias launch another attempt to advance south of #Aleppo along highway \nRebels blow up tank
168,London,0.425,"The human spirit is beautiful, isn't it?"
169,London,0.0,Air strikes on Idlib markets 'kill dozens'
170,Canada,0.0,\u0627\u06d2 \u0646\u0628\u06cc! \u0645\u0633\u0644\u0645\u0627\u0646\u0648\u06ba \u06a9\u0648 \u062c\u06c1\u0627\u062f \u06a9\u06cc \u062a\u0631\u063a\u06cc\u0628 \u062f\u0648\u06d4 \u0627\u0648\u0631 \u0627\u06af\u0631 \u062a\u0645 \u0628\u06cc\u0633 \u0622\u062f\u0645\u06cc \u062b\u0627\u0628\u062a \u0642\u062f\u0645 \u0631\u06c1\u0646\u06d2 \u0648\u0627\u0644\u06d2 \u06c1\u0648\u06ba \u06af\u06d2 \u062a\u0648 \u062f\u0648 \u0633\u0648 \u06a9\u0627\u0641\u0631\u0648\u06ba \u067e\u0631 \u063a\u0627\u0644\u0628 \u0631\u06c1\u06cc\u06ba \u06af\u06d2\u06d4(\u0633\u0648\u0631\u0629 \u0627\u2026
171,Jakarta,0.0,Russia says some 'players' trying to derail Syria peace talks: agencies
172,Amsterdam,0.0,"Syria\u2019s Arch of Triumph, destroyed by Islamic State, recreated in London"
173,Canada,0.5,"this guy just dm'ed me asking if I \""migrated\"" from Syria um no....? migrate? Ok?"
174,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
175,Arizona,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
176,Canada,-0.5,"5 guilty pleas, 4 headed for trial in May, 1 presumably\u2026"
177,Darwin,0.0,"RT #UKagainstDaesh \""RT UNGeneva: Update on ongoing #SyriaTalks in Geneva by Staffan de Mistura, UN #Syria Envoy\nTr\u2026"
178,Riyadh,0.0,\u0634\u062a\u0627\u0646 \u0628\u064a\u0646 \u0627\u0648\u0631\u062f\u0648\u063a\u0627\u0646 \u0627\u0644\u0645\u0633\u0644\u0645 \u0643\u064a\u0641 \u064a\u0642\u0628\u0644 \u0627\u064a\u062f\u064a \u0627\u0644\u0644\u0627\u062c\u0626\u064a\u064a\u0646 \u0627\u0644\u0633\u0648\u0631\u064a\u064a\u0646 \u0648\u0628\u064a\u0646 \u0627\u0644\u0646\u0635\u0631\u0627\u0646\u064a \u0627\u0630\u0644\u0647\u0645 ! #Syria
179,Baghdad,0.7,#Syria by the talented Hossam Abo Hashish \u2764
180,Amsterdam,0.0,So we've been told the migrants are from Syria.. Make your mind up #c4news
181,Riyadh,0.0,\u0643\u0631\u0627\u0645\u0629 \u0627\u0644\u0645\u0631\u0627\u0621\u0647 \u0639\u0646\u062f \u0628\u0634\u0627\u0631  \u0644\u0627\u0637\u0641\u0644 \u0644\u0627\u0646\u0633\u0627\u0621 #Syria \u0627\u0644\u0627\u0631\u0647\u0627\u0628 \u0648\u0637\u0646 \u0627\u0644\u0646\u0635\u064a\u0631\u064a\u0647 \u0648\u0627\u0644\u0634\u064a\u0639\u0647 \u0627\u0644\u0642\u062a\u0644\u0647 \u0627\u063a\u062a\u0635\u0627\u0628 \u0627\u0644\u0633\u0648\u0631\u064a\u0627\u062a \u0641\u064a \u0627\u0644\u0633\u062c\u0648\u0646 \u0627\u0644\u0639\u0644\u0648\u064a\u0629
182,Istanbul,-0.162878787879,If you are from #Syria you are unable to live a life like any other person in this world when in #Turkey. It is a terrible\u2026
183,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
184,Canada,0.133333333333,"More than 100,000 people trapped near Turkish border by renewed fighting in northern #Syria"
185,Istanbul,0.0,"..the list is never-ending. Please check what is happening in #Turkey to the people of Syria before criticising,you would w\u2026"
186,Canada,0.0,#SYRIA\n#IslamicState Claims They Advance In Various Areas Of #DeirEzzor. #TerrorMonitor
187,Canada,-0.1,"'All options,' even military ones, on table to push Israel out of Golan #Gaza #Palestine #Israel #warcrimes #BDS"
188,Tehran,0.0, @DioscorusBoles @miskelayla @FirstMate1060
189,Bucharest,0.75,Assad thugs doing what they do best; torturing innocent civilians. #Syria 
190,Nairobi,0.0,Never forget the children the world has lost #syria #Iraq #Gaza worldwide
191,Canada,0.0,This should be in an erectile dysfunction ad. 
192,Edinburgh,0.0,Seymour Hersh appearing on C4News. Stand by for a barrage of anonymous critics deriding everything from Kennedy to Syria. #ObeytheState
193,Belgrade,0.0,No advances by #SAA today in #Latakia as #Nusra claims to have repelled todays loyalist offensive. #Syria
194,Istanbul,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
195,Quito,0.0,\u0631\u0698\u06cc\u0645 \u062f\u0631 \u062d\u0645\u0644\u0647 \u0628\u0647 \u06cc\u06a9 \u0628\u0627\u0632\u0627\u0631 \u0633\u0628\u0632\u06cc\u0627\u062a \u0648 \u0645\u0627\u0647\u06cc \u062f\u0631 #\u0627\u062f\u0644\u0628 \u062d\u062f\u0648\u062f \u067e\u0646\u062c\u0627\u0647 \u063a\u06cc\u0631\u0646\u0638\u0627\u0645\u06cc \u0631\u0627 \u06a9\u0634\u062a \u0648 \u0635\u062f\u0646\u0641\u0631 \u0631\u0627 \u0632\u062e\u0645\u06cc \u06a9\u0631\u062f. #\u0633\u0648\u0631\u06cc\u0647 #\u0698\u0646\u0648\u06f3
196,Canada,0.0,Clinton Email Shows US Sought Syria Regime Change for Israel\u2019s Sake
197,Quito,0.0,Air strike on market kills around 40 in opposition-held northwest Syria:
198,Novosibirsk,0.0,"\u0422\u0435\u0440\u0440\u043e\u0440\u0438\u0441\u0442\u0438\u0447\u0435\u0441\u043a\u0438\u0435 \u0431\u0430\u043d\u0434\u044b #PYD\/#YPG \u0430\u0440\u0435\u0441\u0442\u043e\u0432\u0430\u043b\u0438 256 \u0433\u0440\u0430\u0436\u0434\u0430\u043d\u0441\u043a\u0438\u0445 \u043b\u0438\u0446(20 \u0434\u0435\u0442\u0435\u0439, 35 \u0436\u0435\u043d\u0449\u0438\u043d)\n\u041e\u0434\u0438\u043d \u0443\u043c\u0435\u0440 \u043e\u0442 \u043f\u044b\u0442\u043e\u043a"
199,Canada,0.0681818181818,Syria Political Talks Hit New Snags
200,Canada,-0.2,"SYRIA\n\n300,000 DEAD\n\nARABS KILLED BY FELLOW ARABS\n\nWHO COMPLAINS ? NOT #UN, NOT #BDS\n\nBEC THEY CANT BLAME #ISRAEL\n."
